t=2021-03-21T03:44:03+0900 lvl=info msg="no configuration paths supplied"
t=2021-03-21T03:44:03+0900 lvl=info msg="using configuration at default config path" path=/Users/scottcho/.ngrok2/ngrok.yml
t=2021-03-21T03:44:03+0900 lvl=info msg="open config file" path=/Users/scottcho/.ngrok2/ngrok.yml err=nil
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp="memory storage"
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp=updater
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp="signal handler"
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp=web
t=2021-03-21T03:44:03+0900 lvl=info msg="run component" obj=controller comp="Tunnel session"
t=2021-03-21T03:44:03+0900 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-03-21T03:44:03+0900 lvl=info msg="tunnel session started" obj=tunSess
t=2021-03-21T03:44:03+0900 lvl=info msg="client session established" obj=csess id=a27cb821cb25
t=2021-03-21T03:44:04+0900 lvl=info msg="update available" obj=updater
t=2021-03-21T03:44:04+0900 lvl=info msg="wait to update manually" obj=updater
t=2021-03-21T03:46:07+0900 lvl=info msg="join connections" obj=join id=bf590a258b6b l=[::1]:3000 r=61.254.18.27:55579
t=2021-03-21T03:46:11+0900 lvl=info msg="join connections" obj=join id=17d2cb589cd9 l=[::1]:3000 r=61.254.18.27:55586
t=2021-03-21T03:46:11+0900 lvl=info msg="join connections" obj=join id=8d1f258bfab4 l=[::1]:3000 r=61.254.18.27:55588
t=2021-03-21T03:46:11+0900 lvl=info msg="join connections" obj=join id=2f4b5243c8ff l=[::1]:3000 r=61.254.18.27:55587
t=2021-03-21T03:46:11+0900 lvl=info msg="join connections" obj=join id=d061e240eb38 l=[::1]:3000 r=61.254.18.27:55584
t=2021-03-21T03:46:11+0900 lvl=info msg="join connections" obj=join id=082ac19b9c6d l=[::1]:3000 r=61.254.18.27:55585
t=2021-03-21T03:46:50+0900 lvl=info msg="join connections" obj=join id=fd2cb67e2daf l=[::1]:3000 r=61.254.18.27:55586
t=2021-03-21T03:46:51+0900 lvl=info msg="join connections" obj=join id=b85f4b8ed8b5 l=[::1]:3000 r=61.254.18.27:55585
t=2021-03-21T03:47:12+0900 lvl=info msg="join connections" obj=join id=30a45486b4f0 l=[::1]:3000 r=61.254.18.27:55585
t=2021-03-21T03:47:13+0900 lvl=info msg="join connections" obj=join id=8c44005f8d87 l=[::1]:3000 r=61.254.18.27:55579
t=2021-03-21T03:47:58+0900 lvl=info msg="join connections" obj=join id=2e51f50af654 l=[::1]:3000 r=61.254.18.27:55579
t=2021-03-21T03:48:01+0900 lvl=info msg="join connections" obj=join id=212f84fce655 l=[::1]:3000 r=61.254.18.27:55588
t=2021-03-21T03:48:05+0900 lvl=info msg="join connections" obj=join id=8ce4cb89ca93 l=[::1]:3000 r=61.254.18.27:55584
t=2021-03-21T03:48:48+0900 lvl=info msg="join connections" obj=join id=b0423f512f86 l=[::1]:3000 r=61.254.18.27:55584
t=2021-03-21T03:48:53+0900 lvl=info msg="join connections" obj=join id=b3c2a6e8fb36 l=[::1]:3000 r=61.254.18.27:55626
t=2021-03-21T03:48:54+0900 lvl=info msg="join connections" obj=join id=1add469090ca l=[::1]:3000 r=61.254.18.27:55628
t=2021-03-21T03:48:55+0900 lvl=info msg="join connections" obj=join id=31c0508b6f1d l=[::1]:3000 r=61.254.18.27:55630
t=2021-03-21T03:49:35+0900 lvl=info msg="join connections" obj=join id=7fcbabea8663 l=[::1]:3000 r=61.254.18.27:55630
t=2021-03-21T03:49:44+0900 lvl=info msg="join connections" obj=join id=3b1505620e9b l=[::1]:3000 r=61.254.18.27:55650
t=2021-03-21T03:50:25+0900 lvl=info msg="join connections" obj=join id=e7e667f59686 l=[::1]:3000 r=61.254.18.27:55655
t=2021-03-21T03:58:10+0900 lvl=info msg="join connections" obj=join id=7d1dd9e27ab1 l=[::1]:3000 r=61.254.18.27:55692
t=2021-03-21T03:58:18+0900 lvl=info msg="join connections" obj=join id=5bc6ceef91b3 l=[::1]:3000 r=61.254.18.27:55695
t=2021-03-21T04:09:35+0900 lvl=info msg="join connections" obj=join id=100fd6416fdb l=[::1]:3000 r=61.254.18.27:55795
t=2021-03-21T04:09:36+0900 lvl=info msg="join connections" obj=join id=f5078b8c1dc4 l=[::1]:3000 r=61.254.18.27:55797
t=2021-03-21T04:09:45+0900 lvl=info msg="join connections" obj=join id=17ccf93b01c7 l=[::1]:3000 r=61.254.18.27:55799
t=2021-03-21T04:09:53+0900 lvl=info msg="join connections" obj=join id=065018d3d511 l=[::1]:3000 r=61.254.18.27:55801
t=2021-03-21T04:09:57+0900 lvl=info msg="join connections" obj=join id=94e7f07820b6 l=[::1]:3000 r=61.254.18.27:55804
t=2021-03-21T04:12:35+0900 lvl=info msg="join connections" obj=join id=946e6dd771dc l=[::1]:3000 r=61.254.18.27:55817
t=2021-03-21T04:16:23+0900 lvl=info msg="join connections" obj=join id=67a6695337bf l=[::1]:3000 r=61.254.18.27:55897
t=2021-03-21T04:16:27+0900 lvl=info msg="join connections" obj=join id=02db213c7976 l=[::1]:3000 r=61.254.18.27:55899
t=2021-03-21T04:31:36+0900 lvl=info msg="join connections" obj=join id=e4469dc4f587 l=[::1]:3000 r=61.254.18.27:55972
t=2021-03-21T04:31:37+0900 lvl=info msg="join connections" obj=join id=b6922b4b3871 l=[::1]:3000 r=61.254.18.27:55974
t=2021-03-21T04:31:39+0900 lvl=info msg="join connections" obj=join id=2ec888b2df0b l=[::1]:3000 r=61.254.18.27:55976
t=2021-03-21T04:31:39+0900 lvl=info msg="join connections" obj=join id=fa866054aeef l=[::1]:3000 r=61.254.18.27:55979
t=2021-03-21T04:31:39+0900 lvl=info msg="join connections" obj=join id=5aba77fd60b1 l=[::1]:3000 r=61.254.18.27:55977
t=2021-03-21T04:31:39+0900 lvl=info msg="join connections" obj=join id=aeb1739a891f l=[::1]:3000 r=61.254.18.27:55978
t=2021-03-21T04:31:39+0900 lvl=info msg="join connections" obj=join id=6df3d2abc7a5 l=[::1]:3000 r=61.254.18.27:55980
t=2021-03-21T04:32:03+0900 lvl=info msg="join connections" obj=join id=00c449a28323 l=[::1]:3000 r=61.254.18.27:55978
t=2021-03-21T04:32:04+0900 lvl=info msg="join connections" obj=join id=e530e5f2bb7a l=[::1]:3000 r=61.254.18.27:55988
t=2021-03-21T04:32:05+0900 lvl=info msg="join connections" obj=join id=6fd72912a0f5 l=[::1]:3000 r=61.254.18.27:55989
t=2021-03-21T04:32:05+0900 lvl=info msg="join connections" obj=join id=30d30fcdf0a0 l=[::1]:3000 r=61.254.18.27:55986
t=2021-03-21T04:32:05+0900 lvl=info msg="join connections" obj=join id=5dd96f11fbbd l=[::1]:3000 r=61.254.18.27:55987
t=2021-03-21T04:38:33+0900 lvl=info msg="join connections" obj=join id=0aab3b9e48af l=[::1]:3000 r=61.254.18.27:56192
t=2021-03-21T04:38:34+0900 lvl=info msg="join connections" obj=join id=680d69848adc l=[::1]:3000 r=61.254.18.27:56194
t=2021-03-21T04:38:35+0900 lvl=info msg="join connections" obj=join id=374b49801bf9 l=[::1]:3000 r=61.254.18.27:56196
t=2021-03-21T04:38:35+0900 lvl=info msg="join connections" obj=join id=b07cc495d9c0 l=[::1]:3000 r=61.254.18.27:56200
t=2021-03-21T04:38:35+0900 lvl=info msg="join connections" obj=join id=b8901df74d07 l=[::1]:3000 r=61.254.18.27:56199
t=2021-03-21T04:38:35+0900 lvl=info msg="join connections" obj=join id=78b21c2b4dc2 l=[::1]:3000 r=61.254.18.27:56198
t=2021-03-21T04:38:35+0900 lvl=info msg="join connections" obj=join id=7519b433da82 l=[::1]:3000 r=61.254.18.27:56197
t=2021-03-21T04:39:07+0900 lvl=info msg="join connections" obj=join id=5dedee1050de l=[::1]:3000 r=61.254.18.27:56197
t=2021-03-21T04:39:09+0900 lvl=info msg="join connections" obj=join id=c488672fdb96 l=[::1]:3000 r=61.254.18.27:56200
t=2021-03-21T04:39:23+0900 lvl=info msg="join connections" obj=join id=fa4ccca61655 l=[::1]:3000 r=61.254.18.27:56200
t=2021-03-21T04:39:54+0900 lvl=info msg="join connections" obj=join id=718175b0b44e l=[::1]:3000 r=61.254.18.27:56199
t=2021-03-21T04:39:55+0900 lvl=info msg="join connections" obj=join id=f74b23bf11b9 l=[::1]:3000 r=61.254.18.27:56196
t=2021-03-21T04:40:03+0900 lvl=info msg="join connections" obj=join id=734f67b8f785 l=[::1]:3000 r=61.254.18.27:56196
t=2021-03-21T04:40:10+0900 lvl=info msg="join connections" obj=join id=77b700ada93c l=[::1]:3000 r=61.254.18.27:56194
t=2021-03-21T04:40:22+0900 lvl=info msg="join connections" obj=join id=6869bb280073 l=[::1]:3000 r=61.254.18.27:56227
t=2021-03-21T04:41:16+0900 lvl=info msg="join connections" obj=join id=070158a1a28f l=[::1]:3000 r=61.254.18.27:56237
t=2021-03-21T04:41:17+0900 lvl=info msg="join connections" obj=join id=9d56295b55fc l=[::1]:3000 r=61.254.18.27:56239
t=2021-03-21T04:41:38+0900 lvl=info msg="join connections" obj=join id=fb576d5835ee l=[::1]:3000 r=61.254.18.27:56242
t=2021-03-21T04:41:39+0900 lvl=info msg="join connections" obj=join id=b24d85d48bcc l=[::1]:3000 r=61.254.18.27:56244
